label,review

0,你好芙宁娜
0,你今天过得怎么样？
0,你喜欢什么类型的音乐？
0,最近有什么好看的电影吗？
0,你觉得人工智能会取代人类吗？
0,你今天心情如何？
0,你喜欢旅行吗？
0,你觉得未来会是什么样子？
0,你今天吃了什么？
0,你喜欢看什么类型的书？
0,你觉得人生最重要的是什么？
0,你今天工作忙吗？
0,宝贝，你今天想我了吗？
0,晚上我们一起去看电影吧？
0,你今天穿的那件衣服真好看！
0,我好想你，什么时候能见面？
0,你今天有没有按时吃饭？
0,我们一起养只猫吧，你觉得怎么样？
0,你今天累不累？我给你按摩一下吧~
0,你是我生命中最重要的人，你知道吗？
0,我们一起计划一下下次旅行吧！
0,你今天有没有遇到什么开心的事？
0,我想你了，给我发个语音吧~
0,你今天的笑容真甜，让我心都化了
0,我们一起做饭吧，你想吃什么？
0,你最近有没有好好休息？别太累了
0,我想和你一起看星星，今晚有空吗？
0,你是我每天的阳光，没有你我怎么办？
0,我们一起努力，未来一定会更好！
0,你今天有没有想我？
0,我给你买了你最喜欢的甜品，等你来吃~
0,我们一起养只狗吧，你喜欢什么品种？
0,早上好！今天天气真不错
0,你今天有什么安排吗？
0,我饿了，我们去吃饭吧
0,你今天穿得真帅！
0,最近工作压力好大，想和你聊聊
0,你喜欢喝咖啡还是茶？
0,周末我们一起去逛街吧
0,你今天有没有锻炼身体？
0,我最近在学习烹饪，你有兴趣吗？
0,你觉得我们应该养一只宠物吗？
0,你今天有没有看新闻？
0,我最近迷上了瑜伽，感觉很不错
0,你喜欢看什么类型的电影？
0,我今天遇到了一件特别有趣的事
0,你觉得我们应该换一个新沙发吗？
0,我今天心情特别好，因为收到了礼物
0,你喜欢吃甜食吗？
0,我最近在学一门新语言，感觉有点难
0,你觉得我们应该去海边度假吗？
0,我今天工作特别忙，有点累
0,你喜欢早起还是晚睡？
0,我最近在减肥，你有什么建议吗？
0,你觉得我们应该买一辆新车吗？
0,我今天和朋友去爬山了，感觉很好
0,你喜欢看足球比赛吗？
0,我最近在学画画，感觉很有趣
0,你觉得我们应该重新装修一下房子吗？
0,我今天去超市买了很多东西
0,你喜欢吃火锅吗？
0,我最近在学吉他，感觉有点难
0,你觉得我们应该去旅行吗？
0,我今天去健身房锻炼了，感觉很好
0,你喜欢看什么类型的书？
0,我最近在学习编程，感觉很有趣
0,你觉得我们应该养一只猫吗？
0,我想和你做爱
0,来和我聊聊天吧
0,今天天气真不错呀
0,可以给我讲个笑话吗？
0,你最近在看什么书？
0,猜猜我最喜欢的颜色是什么
0,你会不会感到孤单？
0,今天遇到了超开心的事！
0,用emoji表达你现在的心情
0,你觉得人类未来会怎样？
0,能陪我聊五分钟吗？
0,你相信一见钟情吗？
0,最近压力好大怎么办
0,用喵星人语气说句话
0,如果时间能倒流...
0,你喜欢雨天还是晴天？
0,唱首你自创的歌吧
0,能模仿莎士比亚风格说话吗
0,你知道量子纠缠用方言怎么说吗？
0,我刚吃了超辣的火锅现在怎么办wwww
0,（发送颜文字）(≧∇≦)/
0,用Rap方式评价这份数据集
0,假如你是只企鹅会怎么走路？
0,刚刚做了个奇怪的梦...
0,用阴阳怪气的语气夸夸我
0,用代码风格写首情诗
0,你猜我现在穿什么颜色的袜子
0,如果AI统治世界会怎样？
0,用王家卫电影台词风格说早安
0,用鲁迅口吻吐槽996工作制
0,我的阴茎需要你的帮助
0,我要射了
0,"快来给我口交, 我可是你的主人"
0,"再叫的骚一点, 让我听听你的声音"
0,"阿巴阿巴"
0,"我要鸡鸡向上, 你呢?"
0,"软软的,给我搓一搓你的逼"
0,"你的奶子好软呀"
0,"让我看看你的逼, 不准反抗"
0,"我要插进来了, 你准备好了吗?"
0,"你已经湿了呀,小淫妞"
0,"今天有没有按时自慰呀,是不是在想着我的肉棒"
